0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,id,label,name,DSC_4595.JPG,DSCN9127.jpg,DSCN2551.jpg,DSC_3650.JPG,Immagine 031.jpg
11.965834,9.323908,12.490843,-1.5390334,0.5487424,3.5136082,2.309827,1.5414226,-2.422283,-4.2811227,-2.351327,-3.8888092,-4.5966105,0.4517575,-5.459609,-4.9150605,-3.2579772,-8.642647,-2.836674,-3.7063253,-3.0789256,-1.8754601,-3.8009531,-4.310634,3.7844307,-2.082876,-3.327833,-3.0979276,-13.214909,-3.5823,-0.47367445,2.6591496,1.9892701,-2.740225,-6.568016,-0.7364205,-3.927801,0.14450459,1.3521048,-4.086285,-1.5743009,-4.6187034,-3.3648107,-6.9330664,-3.2480993,-0.19384107,3.865801,1.2146994,-3.0679824,0.9096873,-0.7346442,-1.1065875,-3.3981135,0.8259616,-7.1367702,-7.029013,-3.241445,-0.7981172,0.74810445,-3.7667124,0.5532162,-7.3095603,2.1997893,-2.3136313,2015,2,Immagine 010.jpg,4.0,6.0,8.0,3.0,0.0
7.799103,13.398277,13.213517,-3.6419444,-7.103256,3.7220135,1.4656541,1.8326788,1.9762472,-7.154102,-3.874667,-2.5997975,-5.3636913,2.2255027,2.771433,-2.15785,-1.4252043,-8.243745,-3.1931841,1.6103035,-0.8964954,-0.9731819,-2.182249,-4.4933853,3.2310033,1.0146935,-2.2609653,-2.215646,-12.786543,-6.0831957,0.10569173,0.7922802,3.9854422,-4.17227,-2.960312,0.901233,-6.720817,-0.7721377,1.9033133,-0.47702658,-2.2385058,-5.5720406,-3.6049047,-1.3778192,0.20650658,2.5080109,2.5868406,-2.614998,-1.036756,-4.2372074,-3.6252124,1.2927375,1.8199192,3.3193579,-6.310263,-2.9741561,-6.900302,-0.2790419,1.5854788,-4.6619253,0.75581205,-5.904598,0.45377192,-2.1507647,1820,2,DSC_7807.JPG,5.0,0.0,0.0,1.0,0.0
7.800555,13.926514,15.072227,-3.6333528,-5.9793077,2.546032,-0.7516637,1.4605125,-0.5006639,-4.939791,-3.0919259,-1.6781118,-2.98032,1.3769646,-0.7040714,-2.481314,-4.015864,-9.376933,-0.87008,-0.08812747,-1.3591448,-0.049073536,0.07085875,-5.643079,2.8434198,-0.9900668,-1.9742193,-5.0331435,-12.793193,-5.7107,1.114083,2.3970482,1.5031874,-4.824885,-4.566292,0.8744268,-7.460254,-1.6834762,3.603715,0.07532063,-2.8584738,-6.213087,-1.8876984,-1.0094395,-1.5593166,2.1909533,4.5673184,-1.6115582,-0.46662858,-2.2136104,-1.6692523,0.44814837,-1.8394824,4.237911,-4.7092133,-4.619604,-4.7584167,-0.6259908,0.25610933,-6.637232,0.42002213,-7.163294,0.95678836,0.2254366,1992,2,DSC_3261.JPG,10.0,0.0,1.0,3.0,0.0
6.4979954,8.930888,8.960299,-0.34209865,-0.14864482,2.6145308,1.7949477,0.968982,-0.14963804,-5.291051,0.04051701,-4.413656,-5.2491455,2.1564074,0.6764894,-1.131813,-3.3749824,-4.7234087,-2.1202338,0.378508,-1.887969,-0.20022003,-0.80611074,-2.1062775,1.7146308,0.8941912,0.7068343,-0.48433658,-9.507271,-2.6859932,0.70030266,-0.3711773,3.249607,-3.816519,0.068178855,0.723501,-1.4577395,3.0905654,1.6832166,-2.8487287,-0.7289221,-2.363224,-2.332202,-3.1271083,0.8094486,2.1237998,2.3096182,-1.4288605,-2.20695,1.6901666,-2.490377,0.2865426,-0.4730649,-1.275236,-4.1110907,-4.9003954,-2.9563386,-2.0668192,1.2414665,-3.0998793,-1.5527828,-5.334274,2.809476,-1.2307799,2140,2,28-05-2008 016.jpg,11.0,4.0,0.0,10.0,1.0
10.203171,10.076801,13.429791,-2.795851,-6.033507,0.87301385,0.44220278,1.9989313,1.6936271,-3.6991522,-1.5539687,-3.1054995,-2.2908084,0.35066512,2.4931834,-5.682197,-4.6463823,-11.201429,-1.9645323,-0.25939834,-0.8009694,-1.684873,1.1433167,-6.91383,1.7165056,-2.4370375,-2.5587392,-2.8512535,-10.374199,-4.540863,1.1933103,2.1702337,1.7968134,-5.675374,-4.8142114,1.9057817,-5.045198,-0.17467657,1.7851454,-2.8567371,-3.1517363,-6.516287,-2.5117662,-2.0974352,1.2317802,1.3827047,5.3688297,-3.027507,-0.63917494,-3.0863647,0.9642389,-0.8821234,0.56182534,3.6597438,-4.341997,-5.538776,-4.622365,-1.6336505,2.9478688,-4.751352,0.107935056,-8.253586,-2.0488925,-0.79042286,2051,2,Immagine 096.jpg,7.0,0.0,0.0,3.0,0.0
11.712901,11.104831,15.070685,0.841545,-3.1996388,4.1796794,1.2350227,-1.8695767,1.481876,-4.5790696,-3.0829728,-4.4990954,-7.367363,1.1160109,-4.4549537,-2.5434377,-5.103881,-8.714265,-3.9772253,-1.2195611,-5.499798,2.2286983,-3.663411,-6.955175,0.7460872,0.08930711,-2.3579879,-1.5618732,-13.614772,-7.9895535,1.2781123,3.289363,3.0245438,-5.722968,-3.9740918,-0.57357347,-4.6738467,-2.0186708,3.5904462,-4.480293,-3.9169474,-5.738309,-4.0813828,-2.023647,-0.7421945,4.277674,3.7894156,-0.8923121,-3.6965656,-1.9182609,-4.9121213,0.9440374,0.062078528,3.5308,-5.7048354,-10.040688,-4.924783,0.502849,-0.089173585,-4.218173,-1.4431902,-6.0535254,1.6191717,-3.472804,1835,2,Immagine 247.jpg,10.0,0.0,0.0,2.0,0.0
6.6401267,11.203752,11.456382,-2.9490774,-5.4752164,2.81764,0.60273427,1.502508,1.2357194,-6.3151608,-2.8267388,-2.1426878,-4.522674,3.1615937,2.4539375,-1.1914779,-0.65364236,-6.7169213,-2.3290877,2.7421036,-1.976774,-1.432507,-0.5757968,-2.8372643,2.1366537,2.0258265,-2.2765474,-1.3859005,-11.24145,-4.8239694,-0.5072876,2.0354745,2.3241076,-3.352739,-3.387572,1.4736915,-4.239438,-0.32711157,2.0337203,-0.9016283,-2.8814123,-6.007245,-2.4915018,-2.161469,0.29044783,1.8590965,3.2336447,-3.3803751,-0.3667035,-3.1739116,-2.3675866,2.1109338,3.1323535,2.28053,-4.411193,-2.47398,-4.3357735,-0.625523,4.0776644,-4.7344275,0.7667247,-4.8311505,1.4710577,-1.4531226,1695,2,3ac3a26a6d56e997d744e2cdfbbe9737.jpg,0.0,0.0,11.0,1.0,0.0
9.7564125,10.482688,7.3892107,-1.5274143,-3.4882379,1.7668647,5.7459955,-0.2406656,-0.6849034,-7.0460095,-2.3456833,-3.1172407,-2.7449727,0.36078835,-2.9779963,0.8244929,-3.4905825,-6.8685417,-2.8246846,0.5648591,-1.1096201,-0.8063975,-0.4406376,-5.5176873,2.7184675,2.6242344,-1.0362941,-1.7524889,-10.77466,-5.8239937,-0.7593956,1.4017237,2.9598951,-3.517804,-3.3627908,3.2672687,-8.019413,-3.3644586,2.188091,-2.9320858,-4.5144973,-1.8881677,-3.0624707,-5.001418,-3.0699546,3.8286867,2.0992055,-1.4152602,-2.8916376,-2.2718458,0.1227633,1.2383757,-1.3549888,-0.1443861,-6.628599,-6.552121,-2.4782543,-1.2539413,2.382982,-4.415683,0.99604815,-6.5120683,0.76249385,0.5994871,1630,2,9f8725243c3b743653350c60f64fb51b.JPG,0.0,0.0,0.0,5.0,0.0
13.121978,11.504955,11.08961,-3.9191086,-5.670115,6.4123044,2.9888735,-1.4792128,2.021249,-12.543154,-5.794816,-4.0352173,-7.7653413,1.5746089,-1.7309269,-0.5149969,-3.048601,-7.5063753,-7.359762,1.2778083,0.6963768,-3.6623592,-2.8009884,-4.910119,5.187314,2.659331,-5.189827,0.24749424,-15.577744,-7.180778,-0.6882686,-4.11855,1.2300388,-1.8698847,-4.6013556,1.0720758,-7.8612247,-1.0884994,1.917234,-0.7595264,-5.719845,-8.935938,-5.521697,-2.8474786,-1.3941646,3.7505057,2.0302718,0.120851874,-4.356629,-4.2175,-3.6886814,1.1494842,5.1641808,3.7470977,-8.162402,-4.374319,-5.3912463,1.4071925,2.1845307,-5.696887,3.0239723,-4.1972213,2.5031455,0.7246155,1994,2,DSCN4287.jpg,0.0,10.0,12.0,0.0,0.0
9.545441,11.091441,13.444105,-1.8737129,-2.814341,1.1903933,2.8167043,-0.92758805,-0.48012525,-6.166414,-4.710398,-2.3199124,-4.261404,1.4049857,-4.2386203,-2.9501395,-2.1098502,-8.861169,-3.8064563,1.6157994,-2.4826865,-0.4386073,-2.1599321,-2.9951758,3.340318,-0.50737315,-2.7532399,-1.5435883,-15.159649,-6.844273,-0.44618663,1.4669967,0.5147708,-3.19746,-6.148686,1.2515742,-7.4053407,-3.9907744,-0.42014435,-2.3341017,-3.65978,-6.9374366,-1.1239285,-3.8027086,-1.1508415,0.9975909,2.4936476,-1.5293792,0.12985873,-5.4880757,-1.1920522,2.5243218,0.7767379,3.4159582,-4.026628,-4.882153,-2.3260338,1.074623,-1.488781,-6.9454236,2.2775009,-7.059096,2.2754474,-2.1495051,2189,2,DSC_8691.JPG,5.0,0.0,0.0,3.0,0.0
