0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,id,label,name
8.52472,3.81087,6.39026,-1.442549,-2.1593966,-1.2261972,-1.1805878,-0.66744566,-2.0418677,-2.079475,-1.7595584,-1.5227753,-1.3044142,-1.6374389,-2.0310116,-2.2349706,-1.0271174,-1.106358,-2.1976576,-1.1891559,-1.1791278,-1.3503915,-1.2290516,-0.80013895,-1.0150709,-1.3751669,-1.977515,-1.5633974,-1.1821003,-1.2209219,-0.30332604,-1.2128408,-1.1728415,-1.1379735,-1.4937408,-0.927736,-2.161933,-1.4107178,-0.9792867,-1.8579981,-1.640358,-1.2269124,-1.8871207,-1.9725463,-3.1607008,-1.0180243,-0.7972552,-0.97066677,-1.5654824,-2.014547,-1.1432503,-0.091202274,-1.4522682,-0.64923495,-1.7567198,-1.8323865,-1.4692023,-1.7169397,-1.2290026,-1.0236022,-2.063632,-1.3781366,-1.5742009,-1.6920769,2015,2,Immagine 010.jpg
4.267615,6.228635,10.332484,-1.6848072,-1.7208995,-1.0666187,-1.6973579,-1.4644431,-2.3138137,-1.5842978,-2.0488067,-1.8073022,-0.9207609,-1.9102361,-1.8126845,-1.2663957,-1.5261253,-0.947118,-2.2121615,-1.6133244,-1.2192687,-1.0434003,-1.3697189,-1.6271161,-1.1960446,-1.2990923,-2.2133732,-1.93224,-1.749684,-1.9218935,-0.51695573,-1.3193864,-1.0028627,-1.4059863,-1.4812099,-0.8908995,-2.1976712,-2.6576293,-1.5082958,-1.0861816,-2.0908933,-1.2858858,-0.84593123,-1.6924348,-2.5346904,-1.275177,-1.5134076,-1.5729364,-1.4588678,-1.482202,-1.072035,-0.52412736,-2.1922474,-0.2819852,-1.844599,-1.6530007,-1.1106896,-2.2512019,-1.8632311,-0.83341473,-2.6419027,-1.3479815,-1.7750214,-1.5776074,1820,2,DSC_7807.JPG
5.1411815,5.4384418,10.239589,-1.9196135,-1.9414102,-0.93034357,-1.4117842,-1.2522216,-2.3383942,-1.9032434,-1.9455012,-1.8227923,-1.0835268,-1.7229204,-1.9675297,-1.4639102,-1.4402655,-1.1487516,-2.1627033,-1.321355,-1.1655124,-1.1286063,-1.0461533,-1.3385649,-1.1217897,-1.570452,-2.180195,-1.759352,-1.6811225,-1.8256345,-0.45990595,-1.1081351,-1.191314,-1.4890316,-1.2239016,-1.0478468,-2.0699704,-2.1344283,-1.6389489,-1.4056062,-2.147584,-1.6113137,-1.2950943,-1.7447188,-2.54049,-1.3426483,-1.290793,-1.5991803,-1.4265802,-1.682948,-1.0341355,-0.13948889,-1.8263528,-0.2707882,-1.9735359,-1.7479616,-1.4754925,-1.9545821,-1.7263917,-0.71417105,-2.663393,-1.3271407,-1.4950786,-1.6099917,1992,2,DSC_3261.JPG
9.006234,2.4088063,7.519948,-1.7051184,-2.2127438,-0.76702255,-1.2741964,-1.2120723,-2.1529434,-2.0614033,-1.5340555,-1.8302625,-1.0943173,-1.4980553,-2.2340477,-2.2264588,-1.4920943,-1.0271704,-2.922396,-1.210788,-1.5912588,-1.8136852,-1.1156448,-0.7598583,-1.2321961,-1.7410154,-2.5484786,-1.8358914,-1.374914,-1.1622407,-0.42549857,-1.990997,-1.3499004,-1.5160354,-1.4768572,-0.86711556,-2.4382842,-1.991755,-1.0707684,-1.9611242,-1.6441078,-1.7374818,-1.6101795,-1.7690054,-3.2855017,-1.3373957,-1.0293059,-1.3622863,-1.4324827,-2.1855545,-1.2079781,-0.3439784,-1.5458938,-0.3459936,-2.163707,-1.8650581,-1.2822138,-1.6997654,-2.1158977,-1.1577169,-2.5259738,-1.5676051,-1.6825333,-1.9112837,2394,2,DSC_9459.JPG
5.608439,3.9954557,9.590966,-1.5927126,-2.1219234,-0.7673286,-1.1906855,-1.2127875,-2.1479099,-1.7943231,-1.6179167,-1.8322797,-0.86452526,-1.604381,-1.9848173,-1.5514897,-1.151243,-1.1470284,-2.6669037,-1.4154217,-1.25228,-0.94018614,-1.0629512,-1.3856896,-1.3435587,-1.7186995,-2.0745552,-1.6408448,-1.6583673,-1.6995896,-0.38015944,-1.3156329,-1.2061468,-1.0166719,-1.408455,-0.6203843,-1.797503,-2.0020437,-1.2823186,-1.5837187,-2.0610425,-1.3177788,-0.98801744,-1.636666,-2.7929082,-1.3358686,-1.2849648,-1.2435497,-1.1170164,-1.7533547,-0.9468413,-0.17685036,-1.8231736,-0.69387054,-1.5608726,-1.729792,-1.1252856,-1.828986,-1.7471143,-0.7392031,-2.356148,-1.2571743,-1.3603183,-1.6540185,2364,2,DSC_9220.JPG
1.9986908,8.445901,8.668775,-1.4820333,-1.2018508,-1.6789981,-1.9726291,-1.1769285,-1.9248215,-1.7612423,-1.975807,-1.2284404,-0.65974563,-2.0858347,-1.8125169,-1.400716,-1.1464803,-1.0113112,-1.461283,-1.3674568,-0.8633191,-0.74226433,-1.3264127,-1.7238562,-0.8965114,-1.1528656,-1.8911775,-1.5333579,-1.5220649,-2.0734777,-0.5625205,-0.70137036,-1.4908372,-1.3688743,-1.0662168,-1.1364877,-2.1636574,-2.39767,-1.3780884,-0.83053344,-1.7267778,-1.3360729,-0.532368,-1.5924816,-1.4261111,-1.0798154,-1.1828667,-1.2336535,-1.4298525,-1.2134366,-1.1145831,-0.5073456,-1.839332,-0.5580242,-1.5983876,-0.9613188,-0.9750931,-1.661853,-1.5649459,-0.67547226,-2.1321967,-0.97535557,-1.4080576,-1.2205895,2325,2,DSC_7944.JPG
4.775869,5.791931,10.533336,-1.6998364,-1.9198129,-1.1864053,-1.5483468,-1.1040384,-2.6183972,-1.8789666,-1.8602725,-1.7764642,-1.1822672,-1.7977741,-2.0226521,-1.5663838,-1.5578074,-0.9740993,-2.246551,-1.4455198,-1.2382039,-0.9866992,-1.3052007,-1.2240888,-1.3162085,-1.3915701,-2.118274,-1.601226,-1.8995168,-2.1392086,-0.40848905,-1.300985,-1.2850469,-1.5021796,-1.4044675,-0.8039318,-2.371642,-2.1078448,-1.5170553,-1.3738651,-2.0421119,-1.5323827,-1.0356771,-1.6009295,-2.570134,-1.2783707,-1.3711102,-1.4867725,-1.2056104,-1.4574872,-1.1247071,-0.25184348,-1.9716333,-0.69303554,-1.9591832,-1.4822391,-1.1127605,-2.209258,-1.8198429,-0.8452245,-2.3533404,-1.2389752,-1.4502327,-1.5759996,1782,2,0a2ab38bc6b1741e18c7d59319356e58.jpg
3.6784413,8.343526,7.9681797,-1.3946973,-1.4950006,-1.7921576,-1.8462021,-1.2370403,-2.2307706,-1.7758396,-1.8899132,-1.2655383,-0.96006465,-1.9538369,-1.6454104,-1.5192597,-1.5348021,-0.9584724,-1.795734,-1.3522218,-1.027155,-1.0131152,-1.6812632,-1.6369467,-0.8363213,-1.0636461,-1.988602,-1.6968294,-1.8586181,-2.3012698,-0.21558318,-0.9192007,-1.8381703,-1.3648349,-1.15328,-1.0844513,-2.3824239,-2.0032961,-1.2080415,-1.345369,-1.7068546,-1.5454779,-0.8572028,-1.5580119,-2.090331,-1.1577173,-1.1395211,-1.2938701,-1.1032392,-1.2041082,-1.2556081,-0.78502387,-1.8678181,-0.51744306,-1.3829678,-1.2908081,-0.8464478,-1.8987162,-1.4310639,-0.89949954,-1.9181448,-1.2019016,-1.5281612,-1.4468212,2140,2,28-05-2008 016.jpg
9.647598,3.71055,6.8625574,-1.4978448,-2.5421824,-0.6964706,-1.4934038,-1.3072901,-2.3035483,-1.986035,-1.7909371,-1.7198496,-1.217305,-1.6825511,-2.2447493,-2.471067,-1.6349968,-1.0975807,-2.8738363,-1.0902992,-1.7384619,-1.7364147,-1.2139251,-0.8731837,-1.2358344,-1.6530764,-2.7236903,-2.17773,-1.3063468,-1.2197961,-0.4157637,-1.8239062,-1.5958169,-1.4085966,-1.617086,-1.1209449,-2.3660738,-2.035153,-0.9492692,-2.0196793,-1.636094,-1.5577525,-1.6169609,-1.9786422,-3.366222,-1.2900648,-1.0441929,-1.3204485,-1.5901474,-2.3104153,-1.269177,-0.46439144,-1.5215979,-0.41556665,-1.8277259,-2.0716941,-1.3677534,-1.9435736,-1.9430407,-1.1054419,-2.437176,-1.3402629,-1.7714797,-1.9158491,2417,2,DSC_2974.JPG
2.5403347,6.3379087,8.753389,-1.3058157,-1.3028013,-1.5443897,-1.2849314,-0.9917898,-2.049961,-1.4893749,-1.4801476,-1.5144699,-0.968276,-1.7166364,-1.9663736,-1.1174701,-1.003964,-1.1106514,-1.7620727,-1.3030361,-1.0094951,-0.95903265,-1.2053955,-1.4279027,-1.0067027,-1.0988791,-1.4330082,-1.5858009,-1.273423,-1.955776,-0.3761453,-0.8924392,-1.4049096,-1.2677143,-0.9191961,-0.8403531,-1.7161064,-1.7841458,-1.2168016,-0.7968056,-2.0308764,-1.3656605,-0.9439043,-1.6762933,-1.9879179,-1.2392778,-1.1964004,-0.99157333,-0.738385,-0.8468559,-0.9838203,-0.22763525,-1.6841906,-0.38591337,-1.4669523,-1.1156915,-0.81209856,-1.7753003,-1.4539849,-0.49726212,-1.8145703,-1.175967,-1.4786195,-1.1422571,2201,2,DSCN8419 .jpg
